title,price,link,released
MadOut2 BigCityOnline [CLOSED],Free,https://store.steampowered.com/app/586980/MadOut2_BigCityOnline_CLOSED/?snr=1_7_7_151_150_2,"22 Feb, 2017"
Tuk Tuk Extreme Simulator,Rp 39 999Rp 3 999,https://store.steampowered.com/app/1967620/Tuk_Tuk_Extreme_Simulator/?snr=1_7_7_151_150_2,"2 May, 2022"
The Zombie Smasher,Rp 90 999,https://store.steampowered.com/app/1859590/The_Zombie_Smasher/?snr=1_7_7_151_150_2,"18 Jan, 2022"
MiniCar Race - 极品飞车2019 Mini,Rp 24 999,https://store.steampowered.com/app/888970/MiniCar_Race__2019_Mini/?snr=1_7_7_151_150_2,"13 Jul, 2018"
The Last Hope,Rp 9 699Rp 2 715,https://store.steampowered.com/app/522570/The_Last_Hope/?snr=1_7_7_151_150_3,"29 Aug, 2016"
Empire of Empires,Rp 28 999Rp 3 769,https://store.steampowered.com/app/2082730/Empire_of_Empires/?snr=1_7_7_151_150_3,"29 Jul, 2022"
Kick the VIRUS,Rp 8 499,https://store.steampowered.com/app/1275860/Kick_the_VIRUS/?snr=1_7_7_151_150_3,"19 Apr, 2020"
Galaxy Citizen,,https://store.steampowered.com/app/1800650/Galaxy_Citizen/?snr=1_7_7_151_150_3,"7 Feb, 2022"
EDEN STAR,Rp 135 999,https://store.steampowered.com/app/259570/EDEN_STAR/?snr=1_7_7_151_150_3,"31 Jan, 2015"
The Last Hope: Atomic Bomb - Crypto War,Rp 338 999,https://store.steampowered.com/app/801320/The_Last_Hope_Atomic_Bomb__Crypto_War/?snr=1_7_7_151_150_3,"6 Apr, 2018"
Space Tower Defense,Rp 9 699Rp 2 715,https://store.steampowered.com/app/1724020/Space_Tower_Defense/?snr=1_7_7_151_150_3,"9 Sep, 2021"
Cat Simulator,Free to Play,https://store.steampowered.com/app/393390/Cat_Simulator/?snr=1_7_7_151_150_3,"13 Feb, 2016"
JET HERO,Rp 32 999Rp 16 499,https://store.steampowered.com/app/586060/JET_HERO/?snr=1_7_7_151_150_3,"17 Feb, 2017"
Zombies Killer Machine,Rp 209 999,https://store.steampowered.com/app/1850690/Zombies_Killer_Machine/?snr=1_7_7_151_150_3,"6 Jan, 2022"
Need for Spirit: Off-Road Edition,Rp 338 999,https://store.steampowered.com/app/1015470/Need_for_Spirit_OffRoad_Edition/?snr=1_7_7_151_150_3,"7 Mar, 2019"
Child Of Ault,Rp 89 999,https://store.steampowered.com/app/566270/Child_Of_Ault/?snr=1_7_7_151_150_3,"25 Jan, 2017"
Happy Empire - A Bouquet for the Princess,Rp 39 999,https://store.steampowered.com/app/544790/Happy_Empire__A_Bouquet_for_the_Princess/?snr=1_7_7_151_150_3,"15 Jan, 2018"
Shadow Ninja: Apocalypse,Rp 18 999,https://store.steampowered.com/app/389160/Shadow_Ninja_Apocalypse/?snr=1_7_7_151_150_3,"17 Nov, 2015"
USA Truck Simulator,Rp 47 499,https://store.steampowered.com/app/1568180/USA_Truck_Simulator/?snr=1_7_7_151_150_3,"25 Mar, 2021"
Sky To Fly: Faster Than Wind,Rp 35 999,https://store.steampowered.com/app/403850/Sky_To_Fly_Faster_Than_Wind/?snr=1_7_7_151_150_3,"25 Mar, 2016"
The Masterplan,Rp 135 999,https://store.steampowered.com/app/313080/The_Masterplan/?snr=1_7_7_151_150_3,"5 Jun, 2015"
